"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Steigereiland-Zuid";"Amsterdam                               ";"BU0363MJ01";940;;41,3;;29,1;39,9;5,9;11,4
"Steigereiland-Noord";"Amsterdam                               ";"BU0363MJ02";1160;;;;31,8;25,5;4,3;8,1
"Rieteilanden-West";"Amsterdam                               ";"BU0363MJ03";1330;;51,9;;15,1;54,2;4,3;5,5
"Joris Ivenspleinbuurt";"Amsterdam                               ";"BU0363MJ04";1060;;40,4;;38,1;23,9;5,7;13
"Ed Pelsterparkbuurt";"Amsterdam                               ";"BU0363MJ05";2220;49,8;38;;30,8;31,6;6,6;13,2
"IJburg-Oost";"Amsterdam                               ";"WK0363MK  ";;;;;31,6;32,8;4,9;14,2
"Buiteneiland";"Amsterdam                               ";"BU0363MK01";;;;;;;;
"Pampusbuurt-West";"Amsterdam                               ";"BU0363MK02";;;;;;;;
"Pampusbuurt-Oost";"Amsterdam                               ";"BU0363MK03";;;;;;;;
"Centrumeiland";"Amsterdam                               ";"BU0363MK04";;;;;31,6;32,8;4,9;14,2
"Muidenbuurt-West";"Amsterdam                               ";"BU0363MK05";;;;;;;;
"IJburg-Zuid";"Amsterdam                               ";"WK0363ML  ";3190;54,5;39,2;46,6;30,3;35,7;7;13,5
"Havenkwartier IJburg";"Amsterdam                               ";"BU0363ML01";760;;;;39,6;16,7;7,2;17,2
"Theo van Goghparkbuurt";"Amsterdam                               ";"BU0363ML02";2270;56,6;39,8;;27,7;41;7,1;12,6
"Rieteiland-Oost";"Amsterdam                               ";"BU0363ML03";;;;;;;;
"Frankendael";"Amsterdam                               ";"WK0363MM  ";5330;45,9;38,9;36,3;56,6;16,5;8,7;18,5
"Van der Kunbuurt";"Amsterdam                               ";"BU0363MM01";;;;;58,1;6,2;12,2;27,2
"De Eenhoorn";"Amsterdam                               ";"BU0363MM02";1260;;;;71,9;9,4;8,5;15,8
"Don Bosco";"Amsterdam                               ";"BU0363MM03";1000;;;;39;28,9;5,4;11,3
"Julianapark";"Amsterdam                               ";"BU0363MM04";970;;;;24,2;23,8;3;7
"Frankendael";"Amsterdam                               ";"BU0363MM05";;;;;;;;
"Tuindorp Amstelstation";"Amsterdam                               ";"BU0363MM06";170;;;;76,7;4,6;14,6;39,7
"De Wetbuurt";"Amsterdam                               ";"BU0363MM07";690;;;;46,6;23,1;7,2;18,4
"Tuindorp Frankendael";"Amsterdam                               ";"BU0363MM08";1050;;38,6;;62,3;15,6;11,7;22,1
"Middenmeer";"Amsterdam                               ";"WK0363MN  ";7870;52,4;43,1;41,1;44,8;26,4;5,5;10,5
"Linnaeusparkbuurt";"Amsterdam                               ";"BU0363MN01";1400;;51;;34,2;33,6;5;9,4
"Middenmeer-Noord";"Amsterdam                               ";"BU0363MN02";1440;;46,6;;33,7;35,6;3,6;9,1
"Middenmeer-Zuid";"Amsterdam                               ";"BU0363MN03";2640;53;42,1;;36,1;29,8;5;9,3
"Science Park-Noord";"Amsterdam                               ";"BU0363MN04";1420;;;;68;13,4;4,9;7,1
"Science Park-Zuid";"Amsterdam                               ";"BU0363MN05";;;;;93,9;1,1;18,4;33,9
"Sportpark Middenmeer-Zuid";"Amsterdam                               ";"BU0363MN06";;;;;42,2;20;5;12,8
"Sportpark Middenmeer-Noord";"Amsterdam                               ";"BU0363MN07";;;;;95,9;0,4;21,3;31,4
"Park de Meer";"Amsterdam                               ";"BU0363MN08";660;;;;29,1;33,1;4,5;11
"Sportpark Voorland";"Amsterdam                               ";"BU0363MN09";;;;;;;;
"Betondorp";"Amsterdam                               ";"WK0363MP  ";930;34,6;29,6;;62,9;8,1;12,1;29,3
"Drieburg";"Amsterdam                               ";"BU0363MP01";;;;;;;;
"Nieuwe Oosterbegraafplaats";"Amsterdam                               ";"BU0363MP02";;;;;;;;
"Betondorp";"Amsterdam                               ";"BU0363MP03";;34,5;29,6;;63;8;12,1;29,4
"Omval/Overamstel";"Amsterdam                               ";"WK0363MQ  ";3690;64,5;56,8;45,7;45,5;23,2;5,2;7,1
"De Omval";"Amsterdam                               ";"BU0363MQ01";;;;;20,2;38,8;2,5;2,3
"Overamstel";"Amsterdam                               ";"BU0363MQ02";;;;;;;;
"Amstelglorie";"Amsterdam                               ";"BU0363MQ03";;;;;;;;
"Amstelkwartier-West";"Amsterdam                               ";"BU0363MQ04";;;;;68;11,5;9,3;12,4
"Amstelkwartier-Noord";"Amsterdam                               ";"BU0363MQ05";1880;;58,7;;44,8;22,9;5;7,7
"Amstelkwartier-Zuid";"Amsterdam                               ";"BU0363MQ06";;;;;;;;
"Weespertrekvaart";"Amsterdam                               ";"BU0363MQ07";;;;;38,1;27,9;4;4,5
"Oostzanerwerf";"Amsterdam                               ";"WK0363NA  ";2030;37,1;29,6;35,2;42,4;18,6;8,3;17,1
"Noorder IJplas";"Amsterdam                               ";"BU0363NA01";;;;;;;;
"Melkweg/Oostzanerwerf";"Amsterdam                               ";"BU0363NA02";;;;;;;;
"Walvisbuurt";"Amsterdam                               ";"BU0363NA03";330;;;;28,9;26;3,6;7,6
"Twiske-West";"Amsterdam                               ";"BU0363NA04";790;;34,3;;28,1;33,3;5;9,7
"Oostzanerdijk";"Amsterdam                               ";"BU0363NA05";;;;;31,4;34,6;6,8;9,5
"Circus/Kermisbuurt";"Amsterdam                               ";"BU0363NA06";370;;;;41,2;14,2;7,7;13,1
"Molenwijk";"Amsterdam                               ";"BU0363NA07";400;;21,1;;60,5;5;13,1;29,3
"Noordelijke IJ-oevers-West";"Amsterdam                               ";"WK0363NB  ";6170;55,2;48,3;42;44,9;22,1;8;11
"Cornelis Douwesterrein-West";"Amsterdam                               ";"BU0363NB01";;;;;;;;
"Cornelis Douwesterrein-Oost";"Amsterdam                               ";"BU0363NB02";;;;;;;;
"NDSM terrein";"Amsterdam                               ";"BU0363NB03";2340;45;42,4;;58;8,2;8,9;10,7
"Buiksloterham-Zuid";"Amsterdam                               ";"BU0363NB04";;;;;45,8;21,3;12,6;21,6
"Buiksloterham-Noord";"Amsterdam                               ";"BU0363NB05";920;;;;31,9;39,5;7,2;7,9
"Klaprozenbuurt";"Amsterdam                               ";"BU0363NB06";;;;;;;;
"Overhoeks";"Amsterdam                               ";"BU0363NB07";1920;66,8;59,4;;32,2;34,5;5,3;8
"Tuindorp Oostzaan";"Amsterdam                               ";"WK0363NC  ";3410;35,9;28,3;32,8;50;15,4;9,1;21,3
"Tuindorp Oostzaan-West";"Amsterdam                               ";"BU0363NC01";160;;;;54;8,8;7,8;22
"Tuindorp Oostzaan-Oost";"Amsterdam                               ";"BU0363NC02";840;33,6;27,3;;50,7;12,1;9,1;21,2
"Terrasdorp";"Amsterdam                               ";"BU0363NC03";1210;32,8;27,3;;59,5;8,9;11,3;26,6
"De Bongerd";"Amsterdam                               ";"BU0363NC04";1060;;32,3;;23,2;41,9;4,6;8,9
"Kadoelen";"Amsterdam                               ";"WK0363ND  ";1080;46,5;35,3;;28,4;34,7;4,4;9
"Twiske-Oost";"Amsterdam                               ";"BU0363ND01";190;;;;36;23,6;3,2;9,9
"Kadoelen";"Amsterdam                               ";"BU0363ND02";880;;;;24,8;40,1;5;8,6
"Banne Buiksloot";"Amsterdam                               ";"WK0363NE  ";3120;33,1;25,9;31,6;51,4;13,2;10,5;23
"Banne-Noordwest";"Amsterdam                               ";"BU0363NE01";340;;21,8;;60,7;7,9;12,9;27,9
"Banne-Noordoost";"Amsterdam                               ";"BU0363NE02";580;30,3;23,7;;48,2;11,8;10,4;22,7
"Banne-Zuidwest";"Amsterdam                               ";"BU0363NE03";830;29,7;22,8;;52,7;12,3;11,6;25,8
"Banne-Zuidoost";"Amsterdam                               ";"BU0363NE04";1080;39,5;31;;50,2;15,2;9;20,1
"Buiksloterbreek";"Amsterdam                               ";"BU0363NE05";;;;;15,5;47,3;4;4,8
"Marjoleinterrein";"Amsterdam                               ";"BU0363NE06";;;;;41,3;24,5;6,7;12,7
"Nieuwendammerdijk/Buiksloterdijk";"Amsterdam                               ";"WK0363NF  ";840;;;;15,3;50,4;3,3;3,6
"Buiksloterdijk-West";"Amsterdam                               ";"BU0363NF01";;;;;;;;
"Buiksloterdijk-Oost";"Amsterdam                               ";"BU0363NF02";;;;;;;;
"Nieuwendammerdijk-West";"Amsterdam                               ";"BU0363NF03";540;;;;16,8;46,9;4;3,5
"Nieuwendammerdijk-Oost";"Amsterdam                               ";"BU0363NF04";;;;;12,9;57,3;1,6;4,1
"Nieuwendammerdijk-Zuid";"Amsterdam                               ";"BU0363NF05";;;;;;;;
"Elzenhagen";"Amsterdam                               ";"WK0363NG  ";2030;42,8;33,9;32,8;59,5;18,4;10,6;19,5
"Elzenhagen-Noord";"Amsterdam                               ";"BU0363NG01";1500;49;36,5;;42,9;29,6;5,8;10,2
"Elzenhagen-Zuid";"Amsterdam                               ";"BU0363NG02";450;;;;83,1;2,5;17,6;33,1
"Nintemanterrein";"Amsterdam                               ";"BU0363NG03";;;;;;;;
"Buikslotermeer";"Amsterdam                               ";"WK0363NH  ";3230;33;27,4;30,5;57,3;8,4;9,8;22,2
"Buikslotermeer-Noord";"Amsterdam                               ";"BU0363NH01";570;;;;61,7;8,7;7,5;16,4
"De Kleine Wereld";"Amsterdam                               ";"BU0363NH02";330;;21,2;;58,9;5,5;12,1;28,7
"Loenermark";"Amsterdam                               ";"BU0363NH03";950;;;;55,1;9,4;7,1;16,7
"Buikslotermeerplein";"Amsterdam                               ";"BU0363NH04";330;;;;66,6;6;10,3;28,8
"Plan van Gool";"Amsterdam                               ";"BU0363NH05";850;;25,5;;51;9,3;12;23,7
"Rode Kruisbuurt";"Amsterdam                               ";"BU0363NH06";;;;;;;;
"Waterlandpleinbuurt";"Amsterdam                               ";"WK0363NJ  ";3110;33,7;25,5;32,2;49,3;12,4;10,5;20,2
"Markengouw-Noord";"Amsterdam                               ";"BU0363NJ01";;;;;47,1;9,5;4,5;6,6
"Markengouw-Midden";"Amsterdam                               ";"BU0363NJ02";750;32,8;23,8;;43,4;15,6;10,3;18,6
"Markengouw-Zuid";"Amsterdam                               ";"BU0363NJ03";400;;;;46,5;15,7;11,8;21,3
"Werengouw-Noord";"Amsterdam                               ";"BU0363NJ04";;;;;36,1;14,8;5,8;8,6
"Werengouw-Midden";"Amsterdam                               ";"BU0363NJ05";1240;32,3;25,8;30;56,7;7,6;11,2;23,3
"Werengouw-Zuid";"Amsterdam                               ";"BU0363NJ06";360;;;;44,2;20,4;12,7;22,9
"Volewijck";"Amsterdam                               ";"WK0363NK  ";2330;32,2;25,9;29,5;61,3;9;14,4;30,4
"Bloemenbuurt-Noord";"Amsterdam                               ";"BU0363NK01";520;;;;54,3;11,5;9,3;23,4
"Bloemenbuurt-Zuid";"Amsterdam                               ";"BU0363NK02";620;;;;64,2;9,6;14,3;33,5
"Van der Pekbuurt";"Amsterdam                               ";"BU0363NK03";1240;31,3;25,4;;63,5;7,5;17;32,4
"IJplein/Vogelbuurt";"Amsterdam                               ";"WK0363NL  ";2610;33,4;27,5;30,8;58,9;9,9;14,3;28,2
"Vogelbuurt-Noord";"Amsterdam                               ";"BU0363NL01";;;;;58,5;8,9;13,5;26,4
"Vliegenbos";"Amsterdam                               ";"BU0363NL02";;;;;;;;
"Vogelbuurt-Zuid";"Amsterdam                               ";"BU0363NL03";1420;32,1;26,3;;58,7;10,5;13,9;28,7
"IJplein e.o.";"Amsterdam                               ";"BU0363NL04";700;;;;61,5;7,6;15,5;29,3
"Tuindorp Buiksloot";"Amsterdam                               ";"WK0363NM  ";550;;;;55,4;12,4;9,7;25,2
"Blauwe Zand";"Amsterdam                               ";"BU0363NM01";550;;;;55,4;12,4;9,7;25,2
"Tuindorp Nieuwendam";"Amsterdam                               ";"WK0363NN  ";890;34,7;28,3;;58,5;10,4;8,5;22,5
"Tuindorp Nieuwendam-West";"Amsterdam                               ";"BU0363NN01";220;;;;56,1;10,8;6,2;19,1
"Tuindorp Nieuwendam-Oost";"Amsterdam                               ";"BU0363NN02";660;;;;59,5;10,3;9,5;24
"Noordelijke IJ-oevers-Oost";"Amsterdam                               ";"WK0363NP  ";;;;;73,5;8;25,1;26,5
"Hamerstraatkwartier-West";"Amsterdam                               ";"BU0363NP01";;;;;73,1;8,2;24;25,5
"Hamerstraatkwartier-Oost";"Amsterdam                               ";"BU0363NP02";;;;;;;;
"Bedrijventerrein Nieuwendammerdijk";"Amsterdam                               ";"BU0363NP03";;;;;;;;
"Waterland";"Amsterdam                               ";"WK0363NQ  ";890;;;;26,7;39,2;6,3;8,6
"Noorderstrook-West";"Amsterdam                               ";"BU0363NQ01";;;;;;;;
"Noorderstrook-Oost";"Amsterdam                               ";"BU0363NQ02";;;;;;;;
"Zunderdorp";"Amsterdam                               ";"BU0363NQ03";150;;;;31,2;35,1;7,1;11,7
"Schellingwoude-West";"Amsterdam                               ";"BU0363NQ04";;;;;;;;
"Schellingwoude-Oost";"Amsterdam                               ";"BU0363NQ05";270;;;;22,7;44,6;4;5,6
"Schellingwoude-Noord";"Amsterdam                               ";"BU0363NQ06";;;;;;;;
"Zwarte Gouw";"Amsterdam                               ";"BU0363NQ07";;;;;;;;
"Holysloot";"Amsterdam                               ";"BU0363NQ08";;;;;19,8;39,6;2,9;3,9
"Ransdorp";"Amsterdam                               ";"BU0363NQ09";;;;;20,5;40,9;3,8;6,9
"Durgerdam";"Amsterdam                               ";"BU0363NQ10";220;;;;20,6;42,6;2,5;3
"Driemond";"Amsterdam                               ";"WK0363SA  ";400;;;;29,6;27,2;4,4;9,1
"Landelijk gebied Driemond";"Amsterdam                               ";"BU0363SA01";;;;;;;;
"Dorp Driemond";"Amsterdam                               ";"BU0363SA02";350;;;;31,1;25;4,5;9,5
"Bloemendalerpolder";"Amsterdam                               ";"WK0363SB  ";2710;75,1;48,9;;6;70,4;0,5;0,7
"Weespersluis-Noord";"Amsterdam                               ";"BU0363SB01";;;;;;;;
"Waterrijk";"Amsterdam                               ";"BU0363SB02";;;;;;;;
"Lanenrijk";"Amsterdam                               ";"BU0363SB03";1410;;;;5,7;74,2;0,4;0,7
"Vechtrijk";"Amsterdam                               ";"BU0363SB04";;;;;;;;
"Leeuwenveld";"Amsterdam                               ";"BU0363SB05";760;;;;7,5;64,6;0,8;0,8
"Bedrijventerrein Nijverheidslaan";"Amsterdam                               ";"BU0363SB06";;;;;;;;
"Weesp-Noordwest";"Amsterdam                               ";"WK0363SC  ";2000;39,1;31,8;35,7;45;14,8;6,9;14,8
"Bedrijventerrein-Noord Weesp";"Amsterdam                               ";"BU0363SC01";;;;;;;;
"Hogewey-Noord";"Amsterdam                               ";"BU0363SC02";370;;;;28,1;26,2;3,6;5,4
"Hogewey-Midden";"Amsterdam                               ";"BU0363SC03";420;;;;44,8;12,8;5,1;12,6
"Hogewey-Zuid";"Amsterdam                               ";"BU0363SC04";360;;;;48,3;17,4;7,7;19
"Weesp Dichtersbuurt";"Amsterdam                               ";"BU0363SC05";650;;;;44,1;10,7;6,7;13
"Weesp Schildersbuurt";"Amsterdam                               ";"BU0363SC06";180;;;;57;12,1;12;23,7
"Weesp Binnenstad/Zuid";"Amsterdam                               ";"WK0363SD  ";2050;46,8;39;42,3;42,2;24;6,7;13,1
"Herensingelkwartier";"Amsterdam                               ";"BU0363SD01";380;;;;39,7;24,8;6,2;10,2
"Bedrijventerrein Van Houten";"Amsterdam                               ";"BU0363SD02";320;;;;51,1;27,7;24,7;21,6
"Weesp Centrum";"Amsterdam                               ";"BU0363SD03";880;;;;39,7;23,4;4,7;11,4
"Weesp-Zuid I";"Amsterdam                               ";"BU0363SD04";120;;;;67,9;10,4;4,9;24,5
"Weesp-Zuid II";"Amsterdam                               ";"BU0363SD05";130;;;;47,3;20,4;7,9;15,6
"De Klomp";"Amsterdam                               ";"BU0363SD06";250;;;;12,2;42,9;1,2;2
"Aetsveld/Oostelijke Vechtoever";"Amsterdam                               ";"WK0363SE  ";1190;44,2;37,2;;27;30,4;2,9;7,1
"Aetsveldsepolder";"Amsterdam                               ";"BU0363SE01";140;;;;18,6;51,5;4,2;4,7
"Aetsveld-Zuid";"Amsterdam                               ";"BU0363SE02";440;;;;28,3;25,4;1,9;6,7
"Aetsveld-Noord";"Amsterdam                               ";"BU0363SE03";430;;;;28,2;26,2;3,6;8,8
"Oostelijke Vechtoever";"Amsterdam                               ";"BU0363SE04";200;;;;26;42,3;3,2;5,5
"Amstel III/Bullewijk";"Amsterdam                               ";"WK0363TA  ";;37,3;35,1;;71,2;2,9;5,2;7,5
"Hoofdcentrum-Zuidoost";"Amsterdam                               ";"BU0363TA01";;;;;;;;
"Amstel III deel C/D-Noord";"Amsterdam                               ";"BU0363TA02";;;;;;;;
"Amstel III deel A/B-Noord";"Amsterdam                               ";"BU0363TA03";;;;;51,6;3,5;2,1;2,1
"Amstel III deel C/D-Zuid";"Amsterdam                               ";"BU0363TA04";;;;;;;;
"Amstel III deel A/B-Zuid";"Amsterdam                               ";"BU0363TA05";;;;;74,4;2,6;4,3;6,6
"AMC";"Amsterdam                               ";"BU0363TA06";;;;;;;;
"Hoge Dijk";"Amsterdam                               ";"BU0363TA07";;;;;;;;
"Venserpolder";"Amsterdam                               ";"WK0363TB  ";2310;31,9;26,7;28,6;63,3;5,5;14,2;26,2
"Venserpolder-West";"Amsterdam                               ";"BU0363TB01";1380;31,6;26,3;28,3;64,6;4,8;14,4;27,6
"Venserpolder-Oost";"Amsterdam                               ";"BU0363TB02";880;32,5;27,2;;61,5;6,6;13,9;24,1
"Amsterdamse Poort e.o.";"Amsterdam                               ";"WK0363TC  ";2490;31,2;26,3;27,2;68,6;8,6;10,8;20,2
"D-buurt";"Amsterdam                               ";"BU0363TC01";;;;;93;0,8;12;25,7
"F-buurt";"Amsterdam                               ";"BU0363TC02";1020;36,6;30;;53,3;13,2;8,1;12,7
"Amsterdamse Poort";"Amsterdam                               ";"BU0363TC03";;;;;78,2;2,2;20,4;41,8
"Vogeltjeswei";"Amsterdam                               ";"BU0363TC04";150;;;;40,3;27;8;17,1
"Nelson Mandelapark";"Amsterdam                               ";"BU0363TC05";;;;;;;;
"H-buurt";"Amsterdam                               ";"WK0363TD  ";1640;26,5;21,5;25,7;68,6;5,3;16,7;30,6
"Hoptille";"Amsterdam                               ";"BU0363TD01";530;;;;78;2,4;16,9;28,7
"Rechte H-buurt";"Amsterdam                               ";"BU0363TD02";630;;21,6;;66,1;5,9;16,6;31,1
"Hakfort/Huigenbos";"Amsterdam                               ";"BU0363TD03";;;;;66,7;5;17,4;33,3
"Huntum";"Amsterdam                               ";"BU0363TD04";;;;;;;;
"Ganzenhoef e.o.";"Amsterdam                               ";"WK0363TE  ";1590;34;27,4;30,5;55;13,8;11,9;20,8
"E-buurt";"Amsterdam                               ";"BU0363TE01";540;;;;42,1;30;6,3;9,1
"G-buurt-West";"Amsterdam                               ";"BU0363TE02";860;35,3;29,4;;51,4;12,5;8,5;16,1
"G-buurt-Noord";"Amsterdam                               ";"BU0363TE03";;;;;72,5;3;21,9;37,9
"Geerdinkhof/Kantershof";"Amsterdam                               ";"WK0363TF  ";2020;36,9;31,4;33,3;51;13,9;8,1;18,7
"G-buurt-Oost";"Amsterdam                               ";"BU0363TF01";1070;39,7;35,6;;51,3;12,9;6,3;15,8
"Grunder/Koningshoef";"Amsterdam                               ";"BU0363TF02";430;;;;40,4;19,5;6,3;12,8
"Kantershof";"Amsterdam                               ";"BU0363TF03";510;;;;57,1;11,9;11,8;27
"Bijlmermuseum";"Amsterdam                               ";"WK0363TG  ";1260;27,9;22,5;26,8;67,7;4,7;14,3;30,8
"Bijlmermuseum-Noord";"Amsterdam                               ";"BU0363TG01";;;;;71,8;3,4;15;38
"Bijlmermuseum-Zuid";"Amsterdam                               ";"BU0363TG02";790;;23,5;;63,6;6,3;13,2;26,7
"De Kameleon e.o.";"Amsterdam                               ";"BU0363TG03";280;;;;69;4,1;14,9;28,2
"K-buurt";"Amsterdam                               ";"WK0363TH  ";1380;33,6;26,3;30,5;54,5;13,2;12,5;23,8
"Gooise Kant";"Amsterdam                               ";"BU0363TH01";;;;;23,1;35,1;2,8;4
"Kortvoort";"Amsterdam                               ";"BU0363TH02";330;;24,4;;68,1;4,3;16,8;33,9
"Kelbergen";"Amsterdam                               ";"BU0363TH03";;;;;54,1;11;12,2;21
"K-buurt-Zuidwest";"Amsterdam                               ";"BU0363TH04";250;;;;43,1;20,9;9,1;17,1
"K-buurt-Zuidoost";"Amsterdam                               ";"BU0363TH05";360;;;;41;23,1;7,7;11,8
"Holendrecht";"Amsterdam                               ";"WK0363TJ  ";1680;29,6;23,8;29,5;56,4;8,8;11;27
"Holendrecht-West";"Amsterdam                               ";"BU0363TJ01";160;;18,9;;69,7;3,9;13,9;40,8
"Holendrecht-Oost";"Amsterdam                               ";"BU0363TJ02";700;;;;36;17,3;4,3;9,4
"Holendrecht-Zuid";"Amsterdam                               ";"BU0363TJ03";760;28,7;22,9;;59;7,3;12,9;27,8
"Nellestein";"Amsterdam                               ";"WK0363TK  ";1080;40,4;34,1;;48;9,4;7,1;13,7
"L-buurt";"Amsterdam                               ";"BU0363TK01";;40,4;34,1;;48;9,3;7,1;13,8
"Gaasperpark";"Amsterdam                               ";"BU0363TK02";;;;;;;;
"Gaasperplas";"Amsterdam                               ";"BU0363TK03";;;;;;;;
"Reigersbos";"Amsterdam                               ";"WK0363TL  ";1830;33,2;27,5;30,9;54,1;9,3;9,6;20,6
"Reigersbos 1";"Amsterdam                               ";"BU0363TL01";410;;;;54,4;8,2;11,2;22,2
"Reigersbos 2";"Amsterdam                               ";"BU0363TL02";400;;;;62,9;4,2;10;23,7
"Reigersbos 3";"Amsterdam                               ";"BU0363TL03";400;;;;57;9,1;9,9;22,3
"Reigersbos 4";"Amsterdam                               ";"BU0363TL04";680;;;;43,8;14,6;7,6;15
"Gein";"Amsterdam                               ";"WK0363TM  ";2750;34,6;28,7;32,8;47,1;13;8,7;18,2
"Gein 1";"Amsterdam                               ";"BU0363TM01";540;;25;;63,5;6,3;13,6;29,4
"Gein 2";"Amsterdam                               ";"BU0363TM02";440;;;;60,7;6,5;11;25
"Gein 3";"Amsterdam                               ";"BU0363TM03";960;40,2;34,2;;21,7;26,6;2,5;3,5
"Gein 4";"Amsterdam                               ";"BU0363TM04";770;34,7;28,5;;45,4;11,5;8,1;16,4
